ME, 05 , 222490 , 6992692.6727334 , 4566173.50050556 , 6914615.90899899 , 4566255.42905292
ME, 10 , 242493 , 7663482.12157649 , 5040619.94589178 , 7531372.50901804 , 5040699.5497662
ME, 15 , 874030 , 9831113.58183033 , 2255880.57849031 , 5381275.55511022 , 2566279.47227789
ME, 20 , 21070826 , 239644980.168 , 912499.612 , 4567532.73066667 , 1085912.36266667
MS, 05 , 222338 , 6987512.93086003 , 4562290.57268128 , 6909885.00438449 , 4562372.55649241
MS, 10 , 237284 , 7494564.22783957 , 4925792.00808898 , 7375103.25985844 , 4925872.51634648
MS, 15 , 706383 , 6529043.72211089 , 2411580.96125585 , 4807913.86305945 , 2598317.18169673
MS, 20 , 15704639 , 6747047.91733333 , 924453.99 , 3589110.39066667 , 1090985.16133333
MT, 05 , 222414 , 6990104.6716116 , 4564229.19285233 , 6912250.80647337 , 4564311.14902225
MT, 10 , 233879 , 7380446.89296432 , 4846747.24308103 , 7269771.79193064 , 4846827.42647549
MT, 15 , 583767 , 9806625.94789579 , 2602250.38009352 , 4719544.24515698 , 2778944.83299933
MT, 20 , 11758117 , 224743421.562667 , 951830.465333333 , 2982123.452 , 1120844.73733333
